Ticker,Industry,Dividend Yield,Volume
A,Diagnostics & Research,71.0,1837282
AAPL,Consumer Electronics,37.0,49473387
ABBV,Drug Manufacturers - General,3.07,5963869
ABNB,Travel Services,0,4968082
ABT,Medical Devices,1.93,6241120
ACGL,Insurance - Diversified,0,2163125
ACN,Information Technology Services,2.4,4656117
ADBE,Software - Application,0,4260611
ADI,Semiconductors,1.41,3594506
ADM,Farm Products,3.5,3563209
ADP,Software - Application,2.62,2105165
ADSK,Software - Application,0,1410953
AEE,Utilities - Regulated Electric,2.9,1642985
AEP,Utilities - Regulated Electric,3.33,3507192
AES,Utilities - Diversified,5.1,9911763
AFL,Insurance - Life,2.28,2194577
AIG,Insurance - Diversified,2.22,4532847
AIZ,Insurance - Property & Casualty,1.58,304666
AJG,Insurance Brokers,1.08,1595668
AKAM,Software - Infrastructure,0,2710000
ALB,Specialty Chemicals,1.22,3605184
ALGN,Medical Instruments & Supplies,0,1373528
ALL,Insurance - Property & Casualty,1.99,1466126
ALLE,Security & Protection Services,1.27,855595
AMAT,Semiconductor Equipment & Materials,67.0,8329236
AMCR,Packaging & Containers,6.34,23475982
AMD,Semiconductors,0,57122847
AME,Specialty Industrial Machinery,62.0,1333509
AMGN,Drug Manufacturers - General,3.06,2693542
AMP,Asset Management,1.29,593482
AMT,REIT - Specialty,3.77,3042290
AMZN,Internet Retail,0,48305793
ANET,Computer Hardware,0,8460412
ANSS,Unknown,0.0,0
AON,Insurance Brokers,88.0,1205953
AOS,Specialty Industrial Machinery,2.03,1224053
APA,Oil & Gas E&P,3.8,7260931
APD,Specialty Chemicals,3.02,1378626
APH,Electronic Components,72.0,8209915
APO,Asset Management,1.37,3571455
APTV,Auto Parts,0,2112153
ARE,REIT - Office,10.07,2652522
ATO,Utilities - Regulated Gas,2.4,958157
AVB,REIT - Residential,3.97,940741
AVGO,Semiconductors,57.0,22875201
AVY,Packaging & Containers,2.12,747639
AWK,Utilities - Regulated Water,2.57,1762742
AXON,Aerospace & Defense,0,773696
AXP,Credit Services,84.0,2578614
AZO,Auto Parts,0,138760
BA,Aerospace & Defense,0,8840985
BAC,Banks - Diversified,2.07,35520744
BALL,Packaging & Containers,1.67,2796453
BAX,Medical Instruments & Supplies,2.85,7544744
BBY,Specialty Retail,5.13,3665571
BDX,Medical Instruments & Supplies,2.12,1992376
BEN,Asset Management,5.49,4373674
BF.B,Unknown,0,0
BG,Farm Products,3.06,1673342
BIIB,Drug Manufacturers - General,0,1801752
BK,Banks - Diversified,1.79,3367122
BKNG,Travel Services,73.0,271385
BKR,Oil & Gas Equipment & Services,1.92,7330201
BLDR,Building Products & Equipment,0,2068595
BLK,Asset Management,1.92,650584
BMY,Drug Manufacturers - General,4.84,16544188
BR,Information Technology Services,1.72,680992
BRK.B,Unknown,0,0
BRO,Insurance Brokers,85.0,2800493
BSX,Medical Devices,0,9897041
BX,Asset Management,2.99,4144996
BXP,REIT - Office,3.98,1775223
C,Banks - Diversified,2.16,12806969
CAG,Packaged Foods,8.03,11060360
CAH,Medical Distribution,1.03,2494692
CARR,Building Products & Equipment,1.8,6795325
CAT,Farm & Heavy Construction Machinery,98.0,2867007
CB,Insurance - Property & Casualty,1.31,1843758
CBOE,Financial Data & Stock Exchanges,1.16,771680
CBRE,Real Estate Services,0,1472736
CCI,REIT - Specialty,4.69,2990009
CCL,Travel Services,0,22319666
CDNS,Software - Application,0,1768950
CDW,Information Technology Services,1.69,1463022
CEG,Utilities - Independent Power Producers,43.0,2578650
CF,Agricultural Inputs,2.63,2463168
CFG,Banks - Regional,3.15,4793995
CHD,Household & Personal Products,1.42,2393166
CHRW,Integrated Freight & Logistics,1.59,1660669
CHTR,Telecom Services,0,1972542
CI,Healthcare Plans,2.3,1947379
CINF,Insurance - Property & Casualty,2.14,532834
CL,Household & Personal Products,2.67,6613201
CLX,Household & Personal Products,4.84,1988463
CMCSA,Telecom Services,4.79,30913222
CME,Financial Data & Stock Exchanges,1.88,1897938
CMG,Restaurants,0,22548344
CMI,Specialty Industrial Machinery,1.53,942398
CMS,Utilities - Regulated Electric,3.1,2430888
CNC,Healthcare Plans,0,10071433
CNP,Utilities - Regulated Electric,2.35,5028161
COF,Credit Services,1.35,3764576
COO,Medical Instruments & Supplies,0,2912652
COP,Oil & Gas E&P,3.47,6728204
COR,Medical Distribution,70.0,1544060
COST,Discount Stores,59.0,2519211
CPAY,Software - Infrastructure,0,572007
CPB,Packaged Foods,5.54,5940549
CPRT,Specialty Business Services,0,8026295
CPT,REIT - Residential,4.07,1225422
CRL,Diagnostics & Research,0,1025584
CRM,Software - Application,63.0,8627700
CRWD,Software - Infrastructure,0,2638698
CSCO,Communication Equipment,2.04,20459687
CSGP,Real Estate Services,0,3714993
CSX,Railroads,1.4,14277615
CTAS,Specialty Business Services,97.0,2150015
CTRA,Oil & Gas E&P,3.26,8983579
CTSH,Information Technology Services,1.49,4558279
CTVA,Agricultural Inputs,1.11,4738687
CVS,Healthcare Plans,3.37,7532055
CVX,Oil & Gas Integrated,4.52,7706709
CZR,Resorts & Casinos,0,9321409
D,Utilities - Regulated Electric,4.6,5039747
DAL,Airlines,1.07,8525273
DASH,Internet Retail,0,4924461
DAY,Software - Application,0,3035836
DD,Specialty Chemicals,3.49,7443271
DE,Farm & Heavy Construction Machinery,1.38,1441580
DECK,Footwear & Accessories,0,3952719
DELL,Computer Hardware,1.49,7333884
DFS,Unknown,0,0
DG,Discount Stores,1.87,3415168
DGX,Diagnostics & Research,1.78,1050701
DHI,Residential Construction,1.16,3259414
DHR,Diagnostics & Research,56.0,4180893
DIS,Entertainment,1.38,10004744
DLR,REIT - Specialty,3.06,1677741
DLTR,Discount Stores,0,4287230
DOC,REIT - Healthcare Facilities,7.34,8108304
DOV,Specialty Industrial Machinery,1.06,1157823
DOW,Chemicals,5.69,13121542
DPZ,Restaurants,1.66,620298
DRI,Restaurants,3.35,1373038
DTE,Utilities - Regulated Electric,3.41,1280071
DUK,Utilities - Regulated Electric,3.74,3139490
DVA,Medical Care Facilities,0,887376
DVN,Oil & Gas E&P,2.5,7859131
DXCM,Medical Devices,0,6476165
EA,Electronic Gaming & Multimedia,37.0,3297942
EBAY,Internet Retail,1.4,5317873
ECL,Specialty Chemicals,1.13,1498438
ED,Utilities - Regulated Electric,3.56,2063863
EFX,Consulting Services,93.0,1366568
EG,Insurance - Reinsurance,2.54,406877
EIX,Utilities - Regulated Electric,5.76,3105671
