Ticker,Industry,Dividend Yield,Volume
AAPL,Consumer Electronics,0.42,40189431
MSFT,Software - Infrastructure,0.75,12698488
AMZN,Internet Retail,0.0,23067168
GOOGL,Internet Content & Information,0.39,13479907
GOOG,Internet Content & Information,0.39,8464238
JNJ,Drug Manufacturers - General,3.35,2214414
META,Internet Content & Information,0.3,13495055
V,Credit Services,0.69,3830267
PG,Household & Personal Products,2.49,3800031
JPM,Banks - Diversified,2.02,3955027
UNH,Healthcare Plans,1.55,1929382
NVDA,Semiconductors,0.03,226261670
HD,Home Improvement Retail,2.18,1328610
DIS,Entertainment,0.82,3991007
PYPL,Credit Services,0.0,5256308
MA,Credit Services,0.55,1284713
VZ,Telecom Services,6.92,10216781
ADBE,Software - Infrastructure,0.0,1408735
INTC,Semiconductors,2.24,46282340
CMCSA,Telecom Services,3.32,18970061
MRK,Drug Manufacturers - General,3.28,4523686
T,Telecom Services,4.89,23056945
NFLX,Entertainment,0.0,2073742
KO,Beverages - Non-Alcoholic,3.06,5448272
PEP,Beverages - Non-Alcoholic,3.6,2894620
PFE,Drug Manufacturers - General,6.49,21224343
CSCO,Communication Equipment,2.64,7575511
XOM,Oil & Gas Integrated,3.61,6856022
ABT,Medical Devices,2.02,2266950
CRM,Software - Application,0.48,2439129
ACN,Information Technology Services,1.7,1265171
COST,Discount Stores,0.47,1253060
WMT,Discount Stores,0.99,9170733
MDT,Medical Devices,3.2,2457705
ABBV,Drug Manufacturers - General,3.73,4342122
AVGO,Semiconductors,1.17,13663286
TXN,Semiconductors,2.71,2801083
NEE,Utilities - Regulated Electric,2.98,3657963
ORCL,Software - Infrastructure,0.83,4383065
LLY,Drug Manufacturers - General,0.74,1484884
NKE,Footwear & Accessories,2.08,7720990
SPGI,Financial Data & Stock Exchanges,0.74,397040
LIN,Specialty Chemicals,1.25,879779
AMD,Semiconductors,0.0,18713882
MCD,Restaurants,2.45,1333221
LOW,Home Improvement Retail,1.69,737175
UPS,Integrated Freight & Logistics,4.87,6781220
MS,Capital Markets,2.83,2417958
PM,Tobacco,4.15,2480079
UNP,Railroads,2.27,2034033
AMGN,Drug Manufacturers - General,3.34,1573266
QCOM,Semiconductors,1.97,3577410
INTU,Software - Application,0.61,770233
RTX,Aerospace & Defense,2.02,1671039
IBM,Information Technology Services,2.92,3047299
CHTR,Telecom Services,0.0,649405
PLD,REIT - Industrial,3.27,1561826
BA,Aerospace & Defense,0.0,3872628
MDLZ,Confectioners,3.24,3030281
ISRG,Medical Instruments & Supplies,0.0,927981
GS,Capital Markets,2.1,1179605
AXP,Credit Services,0.86,768658
DE,Farm & Heavy Construction Machinery,1.45,741558
BLK,Asset Management,2.12,651622
GE,Aerospace & Defense,0.59,1747812
AMT,REIT - Specialty,3.5,802697
ADI,Semiconductors,1.65,1531639
EL,Household & Personal Products,1.68,1557207
MMM,Conglomerates,1.99,1524824
AMAT,Semiconductor Equipment & Materials,0.86,2425143
CB,Insurance - Property & Casualty,1.34,471738
CAT,Farm & Heavy Construction Machinery,1.43,1571017
TMUS,Telecom Services,1.59,1316782
DUK,Utilities - Regulated Electric,3.73,1062064
MMC,Insurance Brokers,1.49,1381578
SO,Utilities - Regulated Electric,3.43,2424559
MO,Tobacco,7.75,3758232
ADI,Semiconductors,1.65,1537577
SPG,REIT - Retail,4.83,415881
CCI,REIT - Specialty,7.01,875780
MDLZ,Confectioners,3.24,3035313
PNC,Banks - Regional,3.19,598135
USB,Banks - Regional,3.93,4135407
BDX,Medical Instruments & Supplies,1.75,1112490
NSC,Railroads,2.14,545895
ITW,Specialty Industrial Machinery,2.32,462907
CI,Healthcare Plans,1.85,823818
EQIX,REIT - Specialty,1.87,172048
REGN,Biotechnology,0.0,377824
EW,Medical Devices,0.0,1260692
APD,Specialty Chemicals,2.14,556603
SHW,Specialty Chemicals,0.79,624890
ADP,Software - Application,2.06,645928
GS,Capital Markets,2.1,1181975
PNC,Banks - Regional,3.19,598991
USB,Banks - Regional,3.93,4144791
BDX,Medical Instruments & Supplies,1.75,1113194
NSC,Railroads,2.14,546445
ITW,Specialty Industrial Machinery,2.32,464061
CI,Healthcare Plans,1.85,833237
EQIX,REIT - Specialty,1.87,172175
REGN,Biotechnology,0.0,378279
EW,Medical Devices,0.0,1266481
APD,Specialty Chemicals,2.14,560213
SHW,Specialty Chemicals,0.79,628623
ADP,Software - Application,2.06,650101
GS,Capital Markets,2.1,1187912
PNC,Banks - Regional,3.19,605452
USB,Banks - Regional,3.93,4193966
BDX,Medical Instruments & Supplies,1.75,1119089
NSC,Railroads,2.14,551973
ITW,Specialty Industrial Machinery,2.32,468679
CI,Healthcare Plans,1.85,843673
EQIX,REIT - Specialty,1.87,173359
REGN,Biotechnology,0.0,380677
EW,Medical Devices,0.0,1275146
APD,Specialty Chemicals,2.14,564159
SHW,Specialty Chemicals,0.79,632381
ADP,Software - Application,2.06,653199
GS,Capital Markets,2.1,1214993
PNC,Banks - Regional,3.19,615440
USB,Banks - Regional,3.93,4227874
BDX,Medical Instruments & Supplies,1.75,1122561
NSC,Railroads,2.14,553855
ITW,Specialty Industrial Machinery,2.32,470674
CI,Healthcare Plans,1.85,846829
EQIX,REIT - Specialty,1.87,173819
REGN,Biotechnology,0.0,383695
EW,Medical Devices,0.0,1287499
APD,Specialty Chemicals,2.14,566646
SHW,Specialty Chemicals,0.79,635540
ADP,Software - Application,2.06,657296
GS,Capital Markets,2.1,1219978
PNC,Banks - Regional,3.19,629158
USB,Banks - Regional,3.93,4260764
BDX,Medical Instruments & Supplies,1.75,1127471
NSC,Railroads,2.14,554151
ITW,Specialty Industrial Machinery,2.32,471369
CI,Healthcare Plans,1.85,848595
EQIX,REIT - Specialty,1.87,173868
REGN,Biotechnology,0.0,384234
EW,Medical Devices,0.0,1289282
APD,Specialty Chemicals,2.14,567922
SHW,Specialty Chemicals,0.79,636744
ADP,Software - Application,2.06,657746
GS,Capital Markets,2.1,1221452
PNC,Banks - Regional,3.19,629791
USB,Banks - Regional,3.93,4269437
BDX,Medical Instruments & Supplies,1.75,1127955
NSC,Railroads,2.14,554367
ITW,Specialty Industrial Machinery,2.32,472020
CI,Healthcare Plans,1.85,849312
EQIX,REIT - Specialty,1.87,173919
REGN,Biotechnology,0.0,384527
EW,Medical Devices,0.0,1290057
APD,Specialty Chemicals,2.14,570075
SHW,Specialty Chemicals,0.79,638643
ADP,Software - Application,2.06,659947
GS,Capital Markets,2.1,1224659
PNC,Banks - Regional,3.19,631390
USB,Banks - Regional,3.93,4300185
BDX,Medical Instruments & Supplies,1.75,1129625
NSC,Railroads,2.14,555787
ITW,Specialty Industrial Machinery,2.32,472674
CI,Healthcare Plans,1.85,849357
EQIX,REIT - Specialty,1.87,174084
REGN,Biotechnology,0.0,384879
EW,Medical Devices,0.0,1292585
APD,Specialty Chemicals,2.14,571855
SHW,Specialty Chemicals,0.79,640705
ADP,Software - Application,2.06,660978
GS,Capital Markets,2.1,1228064
PNC,Banks - Regional,3.19,633728
USB,Banks - Regional,3.93,4329838
BDX,Medical Instruments & Supplies,1.75,1131867
NSC,Railroads,2.14,556273
ITW,Specialty Industrial Machinery,2.32,473336
CI,Healthcare Plans,1.85,855249
EQIX,REIT - Specialty,1.87,174139
REGN,Biotechnology,0.0,385245
EW,Medical Devices,0.0,1294074
APD,Specialty Chemicals,2.14,573742
SHW,Specialty Chemicals,0.79,641727
ADP,Software - Application,2.06,661903
GS,Capital Markets,2.1,1230418
PNC,Banks - Regional,3.19,634512
USB,Banks - Regional,3.93,4343739
BDX,Medical Instruments & Supplies,1.75,1133608
NSC,Railroads,2.14,557119
ITW,Specialty Industrial Machinery,2.32,474098
CI,Healthcare Plans,1.85,858282
EQIX,REIT - Specialty,1.87,174336
REGN,Biotechnology,0.0,385660
EW,Medical Devices,0.0,1296319
APD,Specialty Chemicals,2.14,574678
SHW,Specialty Chemicals,0.79,641870
ADP,Software - Application,2.06,662841
GS,Capital Markets,2.1,1233782
PNC,Banks - Regional,3.19,636753
USB,Banks - Regional,3.93,4354409
BDX,Medical Instruments & Supplies,1.75,1135121
NSC,Railroads,2.14,558321
ITW,Specialty Industrial Machinery,2.32,474535
CI,Healthcare Plans,1.85,859266
EQIX,REIT - Specialty,1.87,174494
REGN,Biotechnology,0.0,386989
EW,Medical Devices,0.0,1302906
APD,Specialty Chemicals,2.14,577266
